<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20170914,92.0503,92.1745,91.9260,92.1124,805690
VNM,20170913,91.9881,92.0503,91.9260,92.0503,991330
VNM,20170912,92.1745,92.2366,91.7397,91.9881,676440
VNM,20170911,92.6093,92.6093,92.0503,92.1745,664250
VNM,20170908,92.8577,92.9198,92.4229,92.6093,303590
VNM,20170907,93.7894,93.7894,92.7956,92.8577,433550
VNM,20170906,94.7832,94.7832,93.6031,93.7894,325420
VNM,20170905,94.1000,94.9074,93.8515,94.7832,860140
VNM,20170901,92.1745,94.1000,92.4850,94.1000,549830
VNM,20170831,91.9260,93.4788,92.1124,92.1745,591080
VNM,20170830,91.6155,91.9881,91.6155,91.9260,515460
VNM,20170829,92.1124,92.1124,91.5534,91.6155,670760
VNM,20170828,92.2366,92.2366,91.7397,92.1124,323280
VNM,20170825,92.1124,92.2366,91.9881,92.2366,274610
VNM,20170824,92.2366,92.2366,91.9881,92.1124,244450
VNM,20170823,92.2366,92.2366,91.8018,92.2366,403240
VNM,20170822,92.4850,92.5472,92.0503,92.2366,418410
VNM,20170821,92.6714,92.7335,92.4850,92.4850,247430
VNM,20170818,92.4229,92.7956,91.9881,92.6714,355880
VNM,20170817,91.6155,92.6093,91.3049,92.4229,842250
VNM,20170816,92.2366,92.2366,90.7459,91.6155,427170
VNM,20170815,92.9819,93.1683,92.2366,92.2366,537150
VNM,20170814,92.8577,93.1683,92.7335,92.9819,927460
VNM,20170811,92.8576,93.1641,91.9382,92.8576,691600
VNM,20170810,91.9382,93.0415,91.9382,92.8576,392360
VNM,20170809,93.1641,93.1641,90.9576,91.9382,1116820
VNM,20170808,94.2061,94.2061,93.0415,93.1641,1197600
VNM,20170807,94.3899,94.3899,93.7770,94.2061,384100
VNM,20170804,94.3899,94.5738,94.2673,94.3899,290860
VNM,20170803,93.4093,94.5738,93.7770,94.3899,702810
VNM,20170802,92.6125,93.4705,92.6125,93.4093,1066000
VNM,20170801,93.5318,93.5318,92.6125,92.6125,811580
VNM,20170731,93.7770,93.7770,93.4705,93.5318,682960
VNM,20170728,93.7157,93.8383,93.7157,93.7770,342150
VNM,20170727,93.7770,93.7770,93.5931,93.7157,214220
VNM,20170726,93.0415,94.2061,93.1028,93.7770,338260
VNM,20170725,93.0415,93.1641,92.6737,93.0415,175170
VNM,20170724,92.8576,93.1641,91.9382,93.0415,704570
VNM,20170721,93.1641,93.1641,92.6737,92.8576,464940
VNM,20170720,93.7770,93.7770,93.1028,93.1641,727990
VNM,20170719,93.1641,94.6351,93.5931,93.7770,375820
VNM,20170718,93.1028,93.7770,92.5512,93.1641,637870
VNM,20170717,95.0641,95.0641,92.9189,93.1028,553330
VNM,20170714,95.7996,95.7996,95.0029,95.0641,690430
VNM,20170713,95.2480,96.2287,95.6158,95.7996,500840
VNM,20170712,93.7770,95.5545,93.6544,95.2480,541660
VNM,20170711,92.9802,93.7770,92.9802,93.7770,518150
VNM,20170710,94.5125,94.8190,92.6737,92.9802,992910
VNM,20170707,96.5352,96.8416,94.5125,94.5125,976360
VNM,20170706,95.9835,96.9642,96.0448,96.5352,549800
VNM,20170705,95.9222,96.0448,95.5545,95.9835,438550
VNM,20170704,96.2287,96.2287,95.6771,95.9222,324350
VNM,20170703,96.5964,96.8416,96.0448,96.2287,562340
VNM,20170630,94.8803,96.7803,94.8803,96.5964,1344660
VNM,20170629,95.2480,95.5545,94.8803,94.8803,312720
VNM,20170628,94.0835,95.3093,94.0835,95.2480,918320
VNM,20170627,94.0222,94.2061,93.9609,94.0835,542230
VNM,20170626,93.7770,94.0835,93.3480,94.0222,267450
VNM,20170623,93.7157,93.8383,93.5318,93.7770,344920
VNM,20170622,94.2673,94.2673,93.6544,93.7157,244120
VNM,20170621,93.7770,94.2673,92.8576,94.2673,912700
VNM,20170620,94.6351,94.6351,93.5931,93.7770,894760
VNM,20170619,93.7770,94.6351,93.8383,94.6351,740530
VNM,20170616,94.2673,95.0029,93.7770,93.7770,1161370
VNM,20170615,94.0835,94.5738,93.9609,94.2673,414540
VNM,20170614,93.3480,94.2061,93.2867,94.0835,536000
VNM,20170613,93.5931,93.5931,92.9189,93.3480,636190
VNM,20170612,94.2061,94.2673,93.4705,93.5931,505720
VNM,20170609,94.1448,94.3899,94.0835,94.2061,329670
VNM,20170608,94.3899,94.3899,94.0222,94.1448,207740
VNM,20170607,94.5125,94.7577,93.7770,94.3899,740420
VNM,20170606,94.2061,94.8803,94.2061,94.5125,239400
VNM,20170605,92.4899,95.3093,92.4899,94.2061,749080
VNM,20170602,93.1028,93.1641,92.0608,92.4899,496020
VNM,20170601,91.7544,93.1028,91.9995,93.1028,597180
VNM,20170531,91.7544,93.3480,91.6931,91.7544,1328060
VNM,20170530,92.9802,92.9802,91.5092,91.7544,460930
VNM,20170529,93.1641,93.3480,92.7963,92.9802,356250
VNM,20170526,91.9382,93.1641,91.6318,93.1641,427910
VNM,20170525,92.8576,92.8576,91.7544,91.9382,619520
VNM,20170524,92.8576,93.1028,91.9382,92.8576,702140
VNM,20170523,92.1221,93.1641,92.1221,92.8576,730180
VNM,20170522,90.6511,92.1834,90.5898,92.1221,1210850
VNM,20170519,89.4866,90.7124,89.3027,90.6511,816280
VNM,20170518,90.0995,90.0995,88.5672,89.4866,580440
VNM,20170517,87.9543,90.4059,87.9543,90.0995,1231010
VNM,20170516,88.1994,88.5059,87.9543,87.9543,531270
VNM,20170515,88.7510,89.0575,87.8930,88.1994,820620
VNM,20170512,88.5672,89.0575,88.3220,88.7510,594730
VNM,20170511,88.5059,88.7510,88.1994,88.5672,465950
VNM,20170510,88.2607,89.1801,87.8317,88.5059,643400
VNM,20170509,89.4253,89.4253,87.8317,88.2607,937160
VNM,20170508,89.8543,89.9156,88.9349,89.4253,813270
VNM,20170505,91.0189,91.0189,89.8543,89.8543,524400
VNM,20170504,89.6704,91.3253,89.8543,91.0189,999850
VNM,20170503,89.4892,89.9125,89.5497,89.6706,879460
VNM,20170428,88.5823,89.8520,88.7032,89.4892,1414090
VNM,20170427,87.0102,88.5823,86.9497,88.5823,1185660
VNM,20170426,86.7078,87.0102,86.1636,87.0102,272660
VNM,20170425,87.0706,87.0706,86.4055,86.7078,472730
VNM,20170424,87.4939,87.4939,86.7683,87.0706,562400
VNM,20170421,87.6148,87.8567,87.1915,87.4939,445370
VNM,20170420,87.9171,87.9776,87.4334,87.6148,427660
VNM,20170419,87.3125,88.2195,87.3125,87.9171,968630
VNM,20170418,85.8613,87.4334,85.8613,87.3125,1900380
VNM,20170417,85.6799,86.2241,85.0752,85.8613,884170
VNM,20170414,86.5264,86.5264,85.1357,85.6799,622350
VNM,20170413,87.0706,87.0706,86.5264,86.5264,322970
VNM,20170412,86.7683,87.3125,86.7078,87.0706,758300
VNM,20170411,86.2241,86.8892,86.1636,86.7683,465400
VNM,20170410,86.2241,86.3450,85.8008,86.2241,604270
VNM,20170407,86.7078,86.7078,85.4380,86.2241,905370
VNM,20170405,87.0706,87.0706,86.1636,86.7078,788830
VNM,20170404,87.2520,87.2520,86.8288,87.0706,1063990
VNM,20170403,86.6474,87.4334,86.6474,87.2520,802030
VNM,20170331,87.0706,87.7357,86.6474,86.6474,1382240
VNM,20170330,85.7404,87.0706,85.7404,87.0706,1175100
VNM,20170329,85.1357,85.8613,84.6520,85.7404,773630
VNM,20170328,85.8613,86.4660,84.0473,85.1357,1026200
VNM,20170327,85.6799,86.9497,85.5590,85.8613,1066240
VNM,20170324,84.7729,85.8613,85.0752,85.6799,1083750
VNM,20170323,82.5962,84.8939,82.5962,84.7729,2051790
VNM,20170322,81.9915,83.8659,81.8101,82.5962,1472340
VNM,20170321,80.9636,82.2334,80.7217,81.9915,819240
VNM,20170320,81.0240,81.5078,80.0566,80.9636,730260
VNM,20170317,81.0240,81.3868,80.7822,81.0240,1035520
VNM,20170316,80.4194,81.2659,80.4194,81.0240,905990
VNM,20170315,79.0287,80.4194,79.0287,80.4194,1182810
VNM,20170314,78.4240,79.1496,78.4845,79.0287,489770
VNM,20170313,78.5450,78.9682,78.4240,78.4240,342480
VNM,20170310,78.9077,78.9682,78.5450,78.5450,427360
VNM,20170309,78.9682,79.1496,78.8473,78.9077,409260
VNM,20170308,78.6054,79.5729,78.6054,78.9682,639360
VNM,20170307,79.1496,79.1496,78.5450,78.6054,444700
VNM,20170306,78.5450,79.2101,78.3031,79.1496,736590
VNM,20170303,78.4240,78.6659,78.1822,78.5450,508470
VNM,20170302,79.0891,79.0891,78.4240,78.4240,482040
VNM,20170301,79.4519,79.6333,79.0287,79.0891,587180
VNM,20170228,79.6938,79.7543,79.1496,79.4519,769690
VNM,20170227,79.7543,80.1775,79.6938,79.6938,759760
VNM,20170224,78.7868,79.7543,78.3031,79.7543,1319730
VNM,20170223,78.8473,78.9077,78.0612,78.7868,613250
VNM,20170222,78.7868,79.3310,78.7264,78.8473,590120
VNM,20170221,78.6054,79.3915,78.1822,78.7868,817670
VNM,20170220,78.6054,78.9682,78.6054,78.6054,484790
VNM,20170217,79.8147,79.8752,78.4845,78.6054,953520
VNM,20170216,80.4194,80.6613,79.5729,79.8147,666900
VNM,20170215,80.3589,80.5403,80.2985,80.4194,862020
VNM,20170214,80.9031,80.9636,80.2380,80.3589,673070
VNM,20170213,80.9031,81.0240,80.6613,80.9031,694280
VNM,20170210,81.0845,81.0845,80.8427,80.9031,2093370
VNM,20170209,80.9636,81.3264,81.0240,81.0845,814060
VNM,20170208,80.9031,81.2659,80.7217,80.9636,448850
VNM,20170207,80.5403,81.2054,80.1171,80.9031,738710
VNM,20170206,80.9636,81.1450,80.2985,80.5403,1331990
VNM,20170203,80.4194,82.7776,80.7217,80.9636,1608110
VNM,20170202,78.0008,80.6613,78.0008,80.4194,1700550
VNM,20170125,77.3961,78.1217,77.3961,78.0008,1485910
VNM,20170124,77.3961,78.1217,77.3961,77.3961,932170
VNM,20170123,76.7914,78.0612,76.7914,77.3961,1825560
VNM,20170120,76.1868,77.5775,76.1868,76.7914,1594930
VNM,20170119,76.1868,76.3682,76.1263,76.1868,862790
VNM,20170118,76.2473,76.3077,75.7031,76.1868,852000
VNM,20170117,76.4891,76.6101,76.2473,76.2473,582380
VNM,20170116,76.7310,76.8519,76.4287,76.4891,602630
VNM,20170113,76.7914,76.9728,76.4891,76.7310,612600
VNM,20170112,76.7914,77.0333,76.5496,76.7914,474780
VNM,20170111,76.2473,76.9124,76.3077,76.7914,838220
VNM,20170110,76.1868,76.4891,76.1868,76.2473,915320
VNM,20170109,76.1868,76.6705,76.1868,76.1868,911300
VNM,20170106,76.6101,77.1542,76.1868,76.1868,1371760
VNM,20170105,76.7310,76.8519,76.3077,76.6101,822360
VNM,20170104,76.6101,77.1542,76.6705,76.7310,659370
VNM,20170103,75.9449,76.7914,75.9449,76.6101,652370
VNM,20161230,77.7589,77.7589,75.8240,75.9449,1065850
VNM,20161229,76.1868,78.6054,77.5775,77.7589,1999150
VNM,20161228,75.5821,76.6705,75.5821,76.1868,1060440
VNM,20161227,74.0705,75.7031,73.8286,75.5821,1728320
VNM,20161226,74.9775,75.2798,73.8286,74.0705,625660
VNM,20161223,74.4333,74.9775,73.5263,74.9775,1446200
VNM,20161222,76.2473,76.7914,74.4333,74.4333,1433510
VNM,20161221,75.3403,76.6101,73.4658,76.2473,2363690
VNM,20161220,77.8798,77.8798,75.1589,75.3403,3022290
VNM,20161219,78.5450,79.1496,77.6984,77.8798,618600
VNM,20161216,77.1542,78.5450,77.3961,78.5450,1677380
VNM,20161215,79.0891,79.0891,76.7310,77.1542,2740830
VNM,20161214,79.2101,79.9357,78.6054,79.0891,1192770
VNM,20161213,80.8427,81.6287,79.2101,79.2101,1451120
VNM,20161212,82.1124,82.1124,80.1171,80.8427,1685520
VNM,20161209,81.7496,82.7171,81.6287,82.1124,1512330
VNM,20161208,80.1171,82.3543,81.3868,81.7496,2784980
VNM,20161207,81.0240,81.0240,79.6938,80.1171,2071090
VNM,20161206,81.6287,81.6287,80.9031,81.0240,921260
VNM,20161205,81.6287,82.0520,81.3264,81.6287,1059840
VNM,20161202,81.7496,82.5357,81.1450,81.6287,1698140
VNM,20161201,83.4427,83.5636,81.7496,81.7496,1458640
VNM,20161130,81.2054,85.8613,81.0240,83.4427,5410310
VNM,20161129,78.1217,81.3868,78.9077,81.2054,2857650
VNM,20161128,81.3264,81.3264,77.6984,78.1217,3125070
VNM,20161125,82.6566,82.7171,80.8427,81.3264,2750970
VNM,20161124,84.0473,84.0473,82.5357,82.6566,2085820
VNM,20161123,85.0752,85.1357,83.9264,84.0473,903770
VNM,20161122,83.7450,85.1962,83.8055,85.0752,1242000
VNM,20161121,82.9589,83.9869,83.3822,83.7450,972500
VNM,20161118,84.0473,84.0473,82.9589,82.9589,1269760
VNM,20161117,84.0473,84.2287,83.8659,84.0473,876780
VNM,20161116,83.0194,84.1683,83.0194,84.0473,1694320
VNM,20161115,83.5636,84.1078,82.9589,83.0194,1937180
VNM,20161114,84.9543,84.9543,83.5031,83.5636,1635670
VNM,20161111,85.2566,85.3776,84.9543,84.9543,789590
VNM,20161110,84.6520,85.4380,84.8939,85.2566,970990
VNM,20161109,84.8939,84.8939,82.5962,84.6520,2730910
VNM,20161108,84.7729,85.1962,84.8334,84.8939,487900
VNM,20161107,85.1962,85.3171,84.7125,84.7729,1259230
VNM,20161104,85.4985,85.8008,84.9543,85.1962,1048780
VNM,20161103,85.3171,85.4985,85.0752,85.4985,1438620
VNM,20161102,85.8008,86.2241,85.3171,85.3171,803900
VNM,20161101,85.8613,86.4660,85.4985,85.8008,560760
VNM,20161031,86.6474,86.8288,85.8613,85.8613,354450
VNM,20161028,86.1636,87.1311,85.8613,86.6474,833450
VNM,20161027,85.3171,86.1636,85.3171,86.1636,378630
VNM,20161026,85.2566,85.5590,85.1962,85.3171,405530
VNM,20161025,85.2566,85.7404,84.9543,85.2566,1247450
VNM,20161024,87.1915,87.1915,85.2566,85.2566,1645610
VNM,20161021,87.6148,88.2195,87.1311,87.1915,585660
VNM,20161020,88.2799,88.5823,87.3729,87.6148,855020
VNM,20161019,87.0706,88.5823,86.5264,88.2799,1959520
VNM,20161018,85.9822,87.0706,85.8008,87.0706,877320
VNM,20161017,87.0706,87.1915,85.9218,85.9822,711870
VNM,20161014,85.8613,87.5543,85.8613,87.0706,2094790
VNM,20161013,85.5590,86.1636,85.3171,85.8613,771080
VNM,20161012,84.9543,85.5590,84.6520,85.5590,1243190
VNM,20161011,84.7125,85.2566,82.9589,84.9543,2006450
VNM,20161010,85.6194,85.6194,84.7125,84.7125,742680
VNM,20161007,85.8613,86.2241,85.0148,85.6194,1175020
VNM,20161006,84.8939,86.1032,84.8939,85.8613,1526360
VNM,20161005,84.9543,85.4985,84.8939,84.8939,821370
VNM,20161004,84.9543,85.7404,84.7125,84.9543,1378590
VNM,20161003,84.6520,85.1962,84.7729,84.9543,1069050
VNM,20160930,84.6520,85.1962,84.6520,84.6520,989150
VNM,20160929,84.6520,85.1962,84.4706,84.6520,2074740
VNM,20160928,84.6520,85.0752,84.2287,84.6520,1476100
VNM,20160927,85.2566,85.4985,84.6520,84.6520,1074130
VNM,20160926,84.6520,85.3171,84.4101,85.2566,1518050
VNM,20160923,82.9589,84.8939,82.5357,84.6520,1718800
VNM,20160922,83.3217,84.3497,82.9589,82.9589,952970
VNM,20160921,82.2334,83.9869,82.8380,83.3217,1460260
VNM,20160920,82.2334,82.2334,80.4194,82.2334,2676170
VNM,20160919,83.4427,84.6520,82.1124,82.2334,3028480
VNM,20160916,86.4660,86.4660,83.4427,83.4427,6624630
VNM,20160915,87.0706,87.4334,86.1636,86.4660,1445440
VNM,20160914,87.6148,87.6148,85.9822,87.0706,875800
VNM,20160913,85.3776,88.1590,84.1078,87.6148,2425810
VNM,20160912,86.4660,88.1590,85.1962,85.3776,2182400
VNM,20160909,88.8846,89.4892,86.4660,86.4660,1741810
VNM,20160908,88.2799,89.4892,87.0706,88.8846,2287900
VNM,20160907,90.6986,90.6986,86.4660,88.2799,4166500
VNM,20160906,93.1172,93.1172,90.6986,90.6986,1732660
VNM,20160905,93.1172,94.3265,91.3032,93.1172,2682460
VNM,20160901,94.3265,94.3265,91.9079,93.1172,2630100
VNM,20160831,91.9079,94.3265,92.5125,94.3265,2108900
VNM,20160830,91.3032,92.5125,90.6986,91.9079,1752690
VNM,20160829,88.2799,93.7218,88.2799,91.3032,3289040
VNM,20160826,87.6753,88.2799,87.0706,88.2799,961360
VNM,20160825,87.6753,88.2799,86.4660,87.6753,609070
VNM,20160824,86.4660,88.2799,86.4660,87.6753,1173980
VNM,20160823,84.6520,86.4660,84.0473,86.4660,1074520
VNM,20160822,86.4660,87.0706,84.6520,84.6520,1276220
VNM,20160819,85.6618,88.8846,85.8613,86.4660,3527830
VNM,20160818,84.1830,85.6599,84.1830,85.6599,2115570
VNM,20160817,83.1984,84.6753,83.1984,84.1830,1335230
VNM,20160816,83.1984,84.1830,83.1984,83.1984,1086530
VNM,20160815,82.7061,83.6907,82.2138,83.1984,1144990
VNM,20160812,83.1984,86.1521,82.7061,82.7061,3172710
VNM,20160811,80.7369,83.1984,80.7369,83.1984,1682430
VNM,20160810,79.7523,81.2292,79.7523,80.7369,1339110
VNM,20160809,77.7831,80.2446,78.2754,79.7523,1906470
VNM,20160808,77.7831,78.2754,77.2908,77.7831,657180
VNM,20160805,76.7985,77.7831,76.3062,77.7831,839620
VNM,20160804,75.8139,77.7831,75.8139,76.7985,1142360
VNM,20160803,74.8293,76.3062,74.8293,75.8139,660790
VNM,20160802,76.3062,76.3062,74.8293,74.8293,1681750
VNM,20160801,77.7831,78.2754,75.8139,76.3062,1706560
VNM,20160729,78.7677,79.2600,77.7831,77.7831,1004950
VNM,20160728,77.7831,79.2600,77.7831,78.7677,1316550
VNM,20160727,77.2908,78.2754,77.2908,77.7831,594750
VNM,20160726,75.8139,77.7831,75.3216,77.2908,1021030
VNM,20160725,76.7985,77.2908,75.8139,75.8139,551630
VNM,20160722,77.2908,78.2754,74.8293,76.7985,2099510
VNM,20160721,77.7831,79.7523,76.7985,77.2908,1758070
VNM,20160720,75.3216,78.2754,74.8293,77.7831,1548000
VNM,20160719,73.8447,76.3062,73.8447,75.3216,1838230
VNM,20160718,72.3678,74.3370,72.3678,73.8447,1083560
VNM,20160715,71.8755,72.8601,71.3832,72.3678,491430
VNM,20160714,72.3678,72.8601,71.3832,71.8755,1249220
VNM,20160713,72.3678,72.8601,71.8755,72.3678,444730
VNM,20160712,71.8755,72.3678,70.8909,72.3678,644290
VNM,20160711,72.3678,73.3524,71.3832,71.8755,554950
VNM,20160708,72.3678,73.3524,71.8755,72.3678,654500
VNM,20160707,70.3986,72.3678,70.3986,72.3678,1355810
VNM,20160706,70.8909,70.8909,69.9063,70.3986,401510
VNM,20160705,71.3832,71.8755,70.3986,70.8909,719200
VNM,20160704,70.3986,71.3832,70.3986,71.3832,878780
VNM,20160701,69.4140,70.8909,69.9063,70.3986,1171460
VNM,20160630,68.4294,69.9063,68.9217,69.4140,687180
VNM,20160629,68.9217,69.4140,68.4294,68.4294,830840
VNM,20160628,67.4448,70.8909,66.9525,68.9217,2005670
VNM,20160627,67.4448,67.4448,65.9679,67.4448,681400
VNM,20160624,68.9217,68.9217,64.9833,67.4448,1764890
VNM,20160623,68.4294,69.4140,67.9371,68.9217,1145260
VNM,20160622,68.4294,68.9217,67.9371,68.4294,276520
VNM,20160621,67.4448,68.9217,67.9371,68.4294,609500
VNM,20160620,67.4448,67.9371,66.9525,67.4448,276920
VNM,20160617,67.4448,67.9371,66.9525,67.4448,208430
VNM,20160616,67.4448,68.4294,67.4448,67.4448,198930
VNM,20160615,67.4448,67.9371,66.4602,67.4448,267060
VNM,20160614,67.4448,67.4448,66.4602,67.4448,175590
VNM,20160613,67.4448,67.4448,66.4602,67.4448,280500
VNM,20160610,67.9371,67.9371,66.9525,67.4448,333760
VNM,20160609,67.9371,67.9371,67.4448,67.9371,199430
VNM,20160608,67.4448,68.4294,67.4448,67.9371,292560
VNM,20160607,66.9525,67.4448,66.4602,67.4448,439670
VNM,20160606,68.4294,68.4294,66.9525,66.9525,661120
VNM,20160603,68.4294,68.9217,67.9371,68.4294,508090
VNM,20160602,68.4293,68.9146,68.4293,68.4293,365590
VNM,20160601,68.9146,68.9146,67.9440,68.4293,622250
VNM,20160531,68.9146,69.4000,68.9146,68.9146,202240
VNM,20160530,69.4000,69.4000,68.4293,68.9146,282620
VNM,20160527,68.4293,69.4000,68.4293,69.4000,332540
VNM,20160526,69.8853,69.8853,68.4293,68.4293,963010
VNM,20160525,70.3706,70.8559,69.8853,69.8853,450900
VNM,20160524,70.8559,70.8559,70.3706,70.3706,476530
VNM,20160523,70.8559,71.3412,70.3706,70.8559,715290
VNM,20160520,70.3706,71.3412,70.3706,70.8559,397920
VNM,20160519,70.3706,70.8559,69.8853,70.3706,377230
VNM,20160518,71.3412,71.3412,70.3706,70.3706,637860
VNM,20160517,70.8559,71.8265,70.8559,71.3412,1078900
VNM,20160516,69.8853,71.3412,69.8853,70.8559,656960
VNM,20160513,70.3706,70.8559,69.8853,69.8853,329960
VNM,20160512,70.8559,71.3412,69.8853,70.3706,402470
VNM,20160511,69.4000,70.8559,69.4000,70.8559,444790
VNM,20160510,69.8853,69.8853,68.9146,69.4000,357200
VNM,20160509,68.9146,71.3412,69.4000,69.8853,1908180
VNM,20160506,68.9146,69.4000,68.9146,68.9146,599150
VNM,20160505,68.9146,69.8853,68.9146,68.9146,615970
VNM,20160504,67.4587,69.4000,67.4587,68.9146,833130
VNM,20160429,66.9734,67.4587,66.9734,67.4587,465510
VNM,20160428,66.9734,67.4587,66.9734,66.9734,483970
VNM,20160427,67.9440,68.4293,66.9734,66.9734,557430
VNM,20160426,67.4587,67.9440,67.4587,67.9440,604360
VNM,20160425,67.9440,69.4000,67.4587,67.4587,886480
VNM,20160422,66.4881,68.4293,66.4881,67.9440,938560
VNM,20160421,66.0028,66.9734,65.5174,66.4881,748780
VNM,20160420,67.4587,67.9440,65.5174,66.0028,1698460
VNM,20160419,69.4000,69.8853,67.4587,67.4587,1117610
VNM,20160415,68.9146,70.3706,69.4000,69.4000,624610
VNM,20160414,68.9146,69.8853,68.4293,68.9146,671070
VNM,20160413,69.4000,70.3706,68.9146,68.9146,681500
VNM,20160412,69.4000,69.8853,68.9146,69.4000,686480
VNM,20160411,69.4000,70.3706,69.4000,69.4000,815800
VNM,20160408,68.4293,69.8853,67.9440,69.4000,1047870
VNM,20160407,66.4881,68.9146,66.0028,68.4293,2120080
VNM,20160406,66.4881,66.4881,65.5174,66.4881,325000
VNM,20160405,65.0321,66.4881,65.5174,66.4881,590930
VNM,20160404,65.0321,65.5174,64.5468,65.0321,260660
VNM,20160401,65.0321,66.0028,64.5468,65.0321,786790
VNM,20160331,66.0028,66.4881,65.0321,65.0321,499710
VNM,20160330,65.0321,66.4881,64.5468,66.0028,645090
VNM,20160329,65.5174,66.0028,65.0321,65.0321,364550
VNM,20160328,65.0321,65.5174,64.5468,65.5174,177060
VNM,20160325,65.5174,65.5174,64.0615,65.0321,597170
VNM,20160324,65.0321,66.0028,64.5468,65.5174,568030
VNM,20160323,64.5468,65.5174,64.5468,65.0321,389980
VNM,20160322,65.5174,65.5174,64.0615,64.5468,1036240
VNM,20160321,66.9734,67.4587,65.5174,65.5174,539910
VNM,20160318,66.9734,66.9734,66.4881,66.9734,335290
VNM,20160317,66.4881,67.9440,66.4881,66.9734,739970
VNM,20160316,66.0028,66.9734,65.5174,66.4881,376070
VNM,20160315,65.5174,66.9734,65.0321,66.0028,870660
VNM,20160314,66.0028,66.4881,65.0321,65.5174,440820
VNM,20160311,63.5762,66.0028,63.0909,66.0028,2205510
VNM,20160310,63.5762,63.5762,62.6056,63.5762,494890
VNM,20160309,63.5762,64.0615,63.0909,63.5762,164840
VNM,20160308,63.5762,64.0615,63.0909,63.5762,395200
VNM,20160307,64.0615,64.5468,63.5762,63.5762,598820
VNM,20160304,63.5762,64.0615,63.0909,64.0615,309870
VNM,20160303,64.0615,64.5468,63.5762,63.5762,430930
VNM,20160302,63.0909,64.0615,62.6056,64.0615,817420
VNM,20160301,62.1202,63.5762,62.1202,63.0909,673510
VNM,20160229,63.0909,63.0909,62.1202,62.1202,476190
VNM,20160226,62.6056,63.0909,62.1202,63.0909,538020
VNM,20160225,63.5762,64.0615,62.6056,62.6056,780490
VNM,20160224,63.0909,63.5762,62.6056,63.5762,489650
VNM,20160223,63.0909,64.0615,62.6056,63.0909,873310
VNM,20160222,62.6056,63.5762,62.1202,63.0909,763080
VNM,20160219,62.6056,63.0909,62.1202,62.6056,373060
VNM,20160218,63.0909,63.5762,62.1202,62.6056,833000
VNM,20160217,62.1202,64.5468,62.6056,63.0909,2003290
VNM,20160216,61.1496,62.6056,61.6349,62.1202,622180
VNM,20160215,60.1790,61.1496,59.2084,61.1496,473520
VNM,20160205,59.2084,60.1790,59.2084,60.1790,204410
VNM,20160204,58.7230,60.1790,59.2084,59.2084,257320
VNM,20160203,57.7524,58.7230,57.2671,58.7230,269870
VNM,20160202,57.7524,58.7230,57.2671,57.7524,251520
VNM,20160201,56.2965,58.2377,56.2965,57.7524,865310
VNM,20160129,56.2965,56.7818,55.8112,56.2965,178270
VNM,20160128,56.7818,57.2671,56.2965,56.2965,249720
VNM,20160127,55.8112,56.7818,55.8112,56.7818,276700
VNM,20160126,57.2671,57.2671,55.3258,55.8112,289980
VNM,20160125,55.3258,57.2671,55.8112,57.2671,325040
VNM,20160122,56.2965,56.7818,54.3552,55.3258,716530
VNM,20160121,56.7818,57.2671,55.8112,56.2965,333300
VNM,20160120,57.7524,57.7524,56.7818,56.7818,313330
VNM,20160119,56.7818,57.7524,56.2965,57.7524,375380
VNM,20160118,58.2377,58.2377,55.3258,56.7818,1244120
VNM,20160115,58.7230,59.6937,58.2377,58.2377,495560
VNM,20160114,58.7230,59.2084,58.2377,58.7230,338870
VNM,20160113,59.6937,59.6937,58.7230,58.7230,232630
VNM,20160112,58.7230,59.6937,58.7230,59.6937,288070
VNM,20160111,59.2084,59.6937,58.7230,58.7230,407320
VNM,20160108,60.1790,60.1790,58.7230,59.2084,615950
VNM,20160107,61.1496,61.1496,59.2084,60.1790,731010
VNM,20160106,60.6643,61.1496,60.1790,61.1496,250760
VNM,20160105,61.1496,61.6349,60.6643,60.6643,285680
VNM,20160104,62.1202,62.1202,60.6643,61.1496,469320
VNM,20151231,61.6349,63.0909,61.1496,62.1202,688500
VNM,20151230,61.6349,62.1202,61.1496,61.6349,309040
VNM,20151229,61.6349,61.6349,60.6643,61.6349,399590
VNM,20151228,60.1790,62.1202,60.1790,61.6349,821730
VNM,20151225,60.6643,60.6643,59.6937,60.1790,315630
VNM,20151224,60.1790,60.6643,59.6937,60.6643,316110
VNM,20151223,60.6643,60.6643,59.6937,60.1790,293550
VNM,20151222,60.6643,61.6349,60.6643,60.6643,434910
VNM,20151221,62.1202,62.1202,60.6643,60.6643,513240
VNM,20151218,62.1202,62.6056,61.6349,62.1202,315940
VNM,20151217,62.1202,62.6056,61.6349,62.1202,317610
VNM,20151216,61.1496,62.6056,61.1496,62.1202,662390
VNM,20151215,60.1790,61.6349,60.1790,61.1496,710870
VNM,20151214,59.6937,60.6643,59.2084,60.1790,237100
VNM,20151211,59.6937,60.6643,59.2084,59.6937,321070
VNM,20151210,59.6937,60.6643,59.2084,59.6937,252320
VNM,20151209,60.6643,61.6349,59.6937,59.6937,470630
VNM,20151208,58.2377,60.6643,57.2671,60.6643,867200
VNM,20151207,59.6937,59.6937,58.2377,58.2377,354390
VNM,20151204,59.6937,59.6937,58.7230,59.6937,253990
